date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:42	34047/34047	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20May%202020%2014:18:03%20GMT	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html	(from )
19:46:43	1002/1002	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20May%202020%2014:18:05%20GMT	https://demo.w3layouts.com/robots.txt		(from )
19:46:44	29062/29062	---M-Z	200	added ('OK')	text/css	etag:%221508500499%22	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/font-awesome.min.css	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:44	42515/42515	---M-Z	200	added ('OK')	text/css	etag:%221508500499%22	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/style.css	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:45	141622/141622	---M-Z	200	added ('OK')	text/css	etag:%221508500499%22	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/bootstrap.min.css	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/css/bootstrap.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:47	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%221508500499%22	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/js/jquery-2.1.4.min.js	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/js/jquery-2.1.4.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:48	31819/31819	---M-Z	200	added ('OK')	application/javascript	etag:%221508500499%22	https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/js/bootstrap.min.js	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/js/bootstrap.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:50	57357/57357	---MCZ	200	added ('OK')	application/javascript	etag:W/%222810cf92cd9eee12826688f59e132e86%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/adyu/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:50	1664/1664	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ea3ff257e6a687e9ad9fd4ada39da675%22	https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/adyu/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
19:46:51	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/adyu/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/20-10-2017/c_resume-demo_Free/760142481/web/index.html)
